id,original,detected_language,confidence,translated_text
1,geometria descriptiva 1,ca,100,descriptive geometry 1
2,gràfica arquitectònica 1,ca,100,Architectural 1
3,introducció a projectes 1,ca,100,introduction to projects 1
4,matemàtiques 1,ca,100,mathematics 1
5,teoria 1,ca,100,theory 1
6,tècnica 1,ca,100,technical 1
7,geometria descriptiva 2,ca,100,descriptive geometry 2
8,gràfica arquitectònica 2,ca,100,Architectural 2
9,introducció a projectes 2,ca,100,introduction to projects 2
10,matemàtiques 2,ca,100,mathematics 2
11,teoria 2,ca,100,theory 2
12,tècnica 2,ca,100,tècnica 2
13,gràfica arquitectònica 3,ca,100,Architectural 3
14,activitats amb ciutadania i pacients,ca,100,activities with citizenship and patients
15,biomedicina per a enginyers,ca,100,biomedicine for engineers
16,estadística biomèdica,ca,100,biomedical statistics
17,històries clíniques digitals,ca,100,digital clinical stories
18,imatge mèdica,ca,100,medical image
19,programació científica,ca,100,Scientific programming
20,reptes biomèdics i ciència de dades,ca,100,biomedical concepts and data science
21,anàlisi avançada de dades de salut,ca,100,advanced analysis of health data
22,aprenentatge automàtic,ca,100,machine learning
23,computació d’altes prestacions i distribuïda,ca,100,high performance and distributed computing
24,escola d’estiu,ca,100,summer school
25,laboratori de negocis,ca,100,laboratory of business
26,anàlisi de dades de salut ambiental,ca,100,environmental health data analysis
27,aprenentatge profund,ca,100,deep learning
28,ciències-òmiques i medicina translacional,ca,100,genomic sciences and translational medicine
29,diagnòstic i presa de decisions assistida per ordinador,ca,100,diagnostic and computer-assisted decision making
30,epidemiologia computacional,ca,100,computational epidemiology
31,iot per a salut,ca,100,iot for health
32,metodologia de la recerca i de projectes,ca,100,research and project methodology
33,mineria de textos de salut,ca,100,mineria de textos de salut
34,proteòmica per a la investigació en salut,ca,100,proteomics for health research
35,"ètica, regulació i privacitat",ca,100,"ethics, regulation and privacy"
36,anàlisi avançada d’imatge mèdica,ca,100,Advanced Medical Imaging Analysis
37,eines per a la neuroenginyeria i la neuroimatge,ca,100,tools for neuroengineering and neuroimaging
38,integració de dades de salut,ca,100,integration of health data
39,predicció del comportament dinàmic en xarxes moleculars,ca,100,Prediction of dynamic behavior in molecular networks
40,pràctiques acadèmiques externes en empresa,ca,100,external academic practices in business
41,treball de fi de màster,ca,100,Final Masterwork
42,sensors biomèdics i processat de senyal,ca,100,biomedical sensors and signal processing
43,visualització i comunicació de dades en salut,ca,100,visualization and communication of data in health
44,xarxes complexes,ca,100,complex networks
45,dret de la seguretat i salut en el treball,ca,100,right of safety and health at work
46,"gestió, formació i informació aplicades a la prevenció",ca,100,"management, training and information applied to prevention"
47,higiene industrial,ca,100,industrial hygiene
48,"medicina, ergonomia i psicosociologia aplicades a la prevenció",ca,100,"medicine, ergonomics and psychosociology applied to prevention"
49,seguretat en el treball,ca,100,security in labour
50,especialització en ergonomia,ca,100,specialisation in ergonomics
51,especialització en higiene industrial,ca,100,specialization in industrial hygiene
52,especialització en psicosociologia,ca,100,specialisation in psychosociology
53,especialització en seguretat en el treball,ca,100,specialization in safety at work
54,pràctiques acadèmiques externes,ca,100,external academic practices
55,treball de fi de màster,ca,100,Final Masterwork
56,dret mercantil,ca,100,mercantile right
57,estadística 1,ca,100,statistics 1
58,fonaments de màrqueting,ca,100,marketing releases
59,introducció a l’economia,ca,100,introduction to economics
60,introducció a la comptabilitat,ca,100,introduction to accounting
61,matemàtiques 1,ca,100,mathematics 1
62,comptabilitat financera,ca,100,financial accounting
63,direcció estratègica de màrqueting,ca,100,strategic marketing direction
64,macroeconomia,ca,100,macroeconomia
65,matemàtiques 2,ca,100,mathematics 2
66,organització d’empreses,ca,100,organisation of companies
